"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년","2학년","3학년","4학년","5학년","6학년","주당평균수업시수(교사 1인당)","주당수업시수","수업교원수"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001308","선동초등학교","02","공립","N","","190","190","190","190","190","190","20.0","160","8"
"경기도교육청","경기도광주하남교육지원청","경기도 하남시","S090001309","신장초등학교","02","공립","N","","190","190","190","190","190","190","21.6","973","45"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001310","쌍령초등학교","02","공립","N","","190","190","190","190","190","190","19.9","398","20"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001311","오포초등학교","02","공립","N","","190","190","190","190","190","190","21.4","600","28"
"경기도교육청","경기도광주하남교육지원청","경기도 하남시","S090001312","창우초등학교","02","공립","N","","190","190","190","190","190","190","20.8","583","28"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001314","초월초등학교","02","공립","N","","190","190","190","190","190","190","20.3","223","11"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001315","탄벌초등학교","02","공립","N","","190","190","190","190","190","190","22.1","1370","62"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090001316","태전초등학교","02","공립","N","","190","190","190","190","190","190","22.3","625","28"
"경기도교육청","경기도광주하남교육지원청","경기도 하남시","S090001317","하남천현초등학교","02","공립","N","","190","190","190","190","190","190","20.5","287","14"
"경기도교육청","경기도광주하남교육지원청","경기도 하남시","S090001318","하남초등학교","02","공립","N","","190","190","190","190","190","190","21.0","462","22"
"경기도교육청","경기도군포의왕교육지원청","경기도 의왕시","S090001380","갈뫼초등학교","02","공립","N","","190","190","190","190","190","190","20.0","440","22"
"경기도교육청","경기도군포의왕교육지원청","경기도 의왕시","S090001381","고천초등학교","02","공립","N","","190","190","190","190","190","190","20.6","392","19"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001382","곡란초등학교","02","공립","N","","190","190","190","190","190","190","17.3","311","18"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001383","관모초등학교","02","공립","N","","190","190","190","190","190","190","20.8","332","16"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001384","광정초등학교","02","공립","N","","190","190","190","190","190","190","20.8","498","24"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001385","군포양정초등학교","02","공립","N","","190","190","190","190","190","190","21.4","684","32"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001386","군포옥천초등학교","02","공립","N","","190","190","190","190","190","190","19.8","336","17"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001387","군포초등학교","02","공립","N","","190","190","190","190","190","190","21.6","863","40"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001388","군포화산초등학교","02","공립","N","","190","190","190","190","190","190","20.6","351","17"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001389","궁내초등학교","02","공립","N","","190","190","190","190","190","190","22.2","488","22"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001390","금정초등학교","02","공립","N","","190","190","190","190","190","190","20.4","551","27"
"경기도교육청","경기도군포의왕교육지원청","경기도 의왕시","S090001391","내손초등학교","02","공립","N","","190","190","190","190","190","190","21.2","276","13"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001392","능내초등학교","02","공립","N","","190","190","190","190","190","190","20.9","502","24"
"경기도교육청","경기도군포의왕교육지원청","경기도 의왕시","S090001393","덕장초등학교","02","공립","N","","190","190","190","190","190","190","18.5","500","27"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001394","도장초등학교","02","공립","N","","190","190","190","190","190","190","22.4","179","8"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001395","둔대초등학교","02","공립","N","","190","190","190","190","190","190","20.1","201","10"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001396","둔전초등학교","02","공립","N","","190","190","190","190","190","190","22.2","667","30"
"경기도교육청","경기도군포의왕교육지원청","경기도 의왕시","S090001397","백운초등학교","02","공립","N","","190","190","190","190","190","190","20.2","788","39"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090001399","산본초등학교","02","공립","N","","190","190","190","190","190","190","20.9","607","29"
